ADM1_EN,ADM1_PCODE,Age,Sex,2015,2016,2017,2018,2019,2020
Centre-Est,BF48,5-9,male,99567.2035737142,134761.226202369,140626.896640478,146492.567078587,152358.237516696,128895.55576426
Centre-Est,BF48,100-104,male,0,0,0,0,0,0
Centre-Est,BF48,105-109,male,0,0,0,0,0,0
Centre-Est,BF48,110-114,male,0,0,0,0,0,0
Centre-Est,BF48,115-119,male,0,0,0,0,0,0
Centre-Est,BF48,120-124,male,0,0,0,0,0,0
Centre-Est,BF48,125-129,male,0,0,0,0,0,0
Centre-Est,BF48,10-14,male,71516.2468105106,104099.59090791,109530.148257476,114960.705607043,120391.262956609,98669.0335583433
Centre-Est,BF48,15-19,male,45577.9144060421,75651.7791010714,80664.0898835762,85676.4006660811,90688.711448586,70639.4683185665
Centre-Est,BF48,20-24,male,37309.9894465483,46355.914957261,47863.5692090465,49371.2234608319,50878.8777126174,44848.2607054756
Centre-Est,BF48,25-29,male,32484.8597383264,37443.3925417072,38269.814675604,39096.2368095008,39922.6589433976,36616.9704078104
Centre-Est,BF48,30-34,male,27451.0757724517,32661.2362806874,33529.5963653934,34397.9564500993,35266.3165348053,31792.8761959815
Centre-Est,BF48,35-39,male,24842.8975517912,27114.9658294476,27493.6438757236,27872.3219219997,28250.9999682758,26736.2877831715
Centre-Est,BF48,95-99,male,0,0,0,0,0,0
Centre-Est,BF48,1-4,male,130252.420339785,134286.040878018,134958.310967723,135630.581057428,136302.851147134,133613.770788312
Centre-Est,BF48,45-49,male,17370.4669495989,17419.2668100015,17427.4001200686,17435.5334301357,17443.6667402028,17411.1334999344
Centre-Est,BF48,50-54,male,14292.8166492195,16592.7791124837,16976.1061896944,17359.4332669051,17742.7603441158,16209.452035273
Centre-Est,BF48,55-59,male,11410.7797153896,13201.3911527204,13499.8263922755,13798.2616318306,14096.6968713857,12902.9559131652
Centre-Est,BF48,60-64,male,8476.57921714659,10009.7471985419,10265.2751954411,10520.8031923403,10776.3311892395,9754.21920164264
Centre-Est,BF48,65-69,male,7068.16297798993,6494.22611054504,6398.56996597089,6302.91382139674,6207.25767682259,6589.88225511919
Centre-Est,BF48,70-74,male,4446.94386622614,4691.8149696361,4732.62682020443,4773.43867077275,4814.25052134108,4651.00311906777
Centre-Est,BF48,75-79,male,2673.382676177,2123.40376418749,2031.74061218924,1940.07746019099,1848.41430819274,2215.06691618574
Centre-Est,BF48,80-84,male,0,1041.40514425011,1214.97266829179,1388.54019233347,1562.10771637516,867.837620208422
Centre-Est,BF48,85-89,male,0,0,0,0,0,0
Centre-Est,BF48,90-94,male,0,0,0,0,0,0
Centre-Est,BF48,20-24,female,61813.8238296536,65491.4262633839,66104.360002339,66717.293741294,67330.2274802491,64878.4925244289
Centre-Est,BF48,40-44,male,18270.2884357267,25138.5044271599,26283.2070923987,27427.9097576376,28572.6124228765,23993.801761921
Centre-Est,BF48,0,female,134608.077968288,143729.970512261,145250.285936257,146770.601360252,148290.916784248,142209.655088266
Centre-Est,BF48,5-9,female,90229.9255437496,132624.642101341,139690.428194273,146756.214287205,153822.000380137,125558.856008409
Centre-Est,BF48,95-99,female,0,0,0,0,0,0
Centre-Est,BF48,100-104,female,0,0,0,0,0,0
Centre-Est,BF48,105-109,female,0,0,0,0,0,0
Centre-Est,BF48,110-114,female,0,0,0,0,0,0
Centre-Est,BF48,115-119,female,0,0,0,0,0,0
Centre-Est,BF48,120-124,female,0,0,0,0,0,0
Centre-Est,BF48,125-129,female,0,0,0,0,0,0
Centre-Est,BF48,10-14,female,77371.6069158934,91647.6161035744,94026.9509681879,96406.2858328014,98785.6206974149,89268.2812389609
Centre-Est,BF48,15-19,female,66012.990764917,78383.1548394635,80444.8488518879,82506.5428643123,84568.2368767368,76321.4608270391
Centre-Est,BF48,80-84,female,0,1690.84621622782,1972.65391893246,2254.46162163709,2536.26932434173,1409.03851352318
Centre-Est,BF48,25-29,female,47429.720942711,63226.0319283666,65858.7504259759,68491.4689235851,71124.1874211944,60593.3134307573
Centre-Est,BF48,30-34,female,40178.9854892748,47644.4401215163,48888.6825602232,50132.9249989301,51377.167437637,46400.1976828094
Centre-Est,BF48,35-39,female,32067.5512230207,40629.3331210374,42056.2967707069,43483.2604203763,44910.2240700458,39202.369471368
Centre-Est,BF48,40-44,female,24399.5072542789,32496.2508383374,33845.7081023471,35195.1653663569,36544.6226303666,31146.7935743276
Centre-Est,BF48,1-4,female,127148.688257199,131782.987214561,132555.370374121,133327.753533682,134100.136693242,131010.604055001
Centre-Est,BF48,45-49,female,22508.5780443,23701.4551830061,23900.2680394571,24099.0808959081,24297.8937523591,23502.6423265551
Centre-Est,BF48,50-54,female,15049.188333211,22611.1450487862,23871.4711680488,25131.7972873113,26392.1234065739,21350.8189295237
Centre-Est,BF48,55-59,female,15557.7830862398,13543.4721373332,13207.7536458488,12872.0351543644,12536.31666288,13879.1906288177
Centre-Est,BF48,60-64,female,10758.7351602245,14201.3665797,14775.1384829459,15348.9103861918,15922.6822894377,13627.5946764541
Centre-Est,BF48,65-69,female,8854.76505914236,8532.53538700358,8478.83044164712,8425.12549629066,8371.42055093419,8586.24033236005
Centre-Est,BF48,70-74,female,5972.72812531252,6008.19963085861,6014.11154844963,6020.02346604065,6025.93538363166,6002.2877132676
Centre-Est,BF48,75-79,female,4081.79891533367,2894.09037055207,2696.1389464218,2498.18752229153,2300.23609816126,3092.04179468233
Centre-Est,BF48,85-89,female,0,0,0,0,0,0
Centre-Est,BF48,90-94,female,0,0,0,0,0,0
Centre-Nord,BF49,0,male,147322.946794008,151605.797193888,152319.605593868,153033.413993848,153747.222393828,150891.988793908
Centre-Nord,BF49,0,female,150413.63798549,144735.99627839,143789.72266054,142843.44904269,141897.17542484,145682.26989624
Centre-Nord,BF49,5-9,female,101353.805654867,144586.081693243,151791.461032972,158996.840372702,166202.219712431,137380.702353514
Centre-Nord,BF49,95-99,female,0,0,0,0,0,0
Centre-Nord,BF49,100-104,female,0,0,0,0,0,0
Centre-Nord,BF49,105-109,female,0,0,0,0,0,0
Centre-Nord,BF49,110-114,female,0,0,0,0,0,0
Centre-Nord,BF49,115-119,female,0,0,0,0,0,0
Centre-Nord,BF49,120-124,female,0,0,0,0,0,0
Centre-Nord,BF49,125-129,female,0,0,0,0,0,0
Centre-Nord,BF49,10-14,female,87439.1748476429,102840.494864093,105407.381533502,107974.26820291,110541.154872319,100273.608194685
Centre-Nord,BF49,15-19,female,71164.1427507215,89270.0440031262,92287.6942118603,95305.3444205945,98322.9946293286,86252.3937943921
Centre-Nord,BF49,20-24,female,62022.4780873064,71524.7993699067,73108.5195836734,74692.2397974402,76275.9600112069,69941.07915614
Centre-Nord,BF49,25-29,female,48877.2598551776,63181.85259961,65565.9513903487,67950.0501810875,70334.1489718262,60797.7538088713
Centre-Nord,BF49,5-9,male,104848.764470552,149361.314652519,156780.07301618,164198.831379841,171617.589743502,141942.556288858
Centre-Nord,BF49,95-99,male,0,0,0,0,0,0
Centre-Nord,BF49,100-104,male,0,0,0,0,0,0
Centre-Nord,BF49,105-109,male,0,0,0,0,0,0
Centre-Nord,BF49,110-114,male,0,0,0,0,0,0
Centre-Nord,BF49,115-119,male,0,0,0,0,0,0
Centre-Nord,BF49,120-124,male,0,0,0,0,0,0
Centre-Nord,BF49,125-129,male,0,0,0,0,0,0
Centre-Nord,BF49,10-14,male,76823.8894895547,109318.754780828,114734.565662707,120150.376544586,125566.187426465,103902.943898949
Centre-Nord,BF49,15-19,male,49907.4902523385,81076.9503931223,86271.8604165863,91466.7704400503,96661.6804635143,75882.0403696584
Centre-Nord,BF49,20-24,male,41496.1154907084,50631.0312835036,52153.5172489695,53676.0032144354,55198.4891799013,49108.5453180378
Centre-Nord,BF49,25-29,male,32119.7147874339,42446.504602535,44167.6362383852,45888.7678742354,47609.8995100856,40725.3729666848
Centre-Nord,BF49,30-34,male,29498.4956756701,31822.8495305291,32210.2418396723,32597.6341488155,32985.0264579587,31435.457221386
Centre-Nord,BF49,35-39,male,26668.6223062535,29142.750753091,29555.1054942306,29967.4602353702,30379.8149765097,28730.3960119514
Centre-Nord,BF49,40-44,male,19548.2957638504,26998.8916548839,28240.6576367228,29482.4236185617,30724.1896004007,25757.125673045
Centre-Nord,BF49,1-4,male,143436.761245224,143491.518693415,143500.64493478,143509.771176145,143518.89741751,143482.39245205
Centre-Nord,BF49,45-49,male,18922.3329908918,18570.3840327391,18511.725873047,18453.0677133549,18394.4095536628,18629.0421924312
Centre-Nord,BF49,50-54,male,14579.7162534921,18273.1714981276,18888.7473722336,19504.3232463395,20119.8991204454,17657.5956240217
Centre-Nord,BF49,55-59,male,12180.1922904845,13358.3047897514,13554.6568729626,13751.0089561737,13947.3610393849,13161.9527065403
Centre-Nord,BF49,60-64,male,8620.02901928292,10770.3118371363,11128.6923067785,11487.0727764208,11845.453246063,10411.9313674941
Centre-Nord,BF49,65-69,male,8450.49743493999,6351.58139036012,6001.7620495968,5651.94270883349,5302.12336807018,6701.40073112343
Centre-Nord,BF49,70-74,male,4707.76168829218,5731.18041146957,5901.7501986658,6072.31998586203,6242.88977305826,5560.61062427333
Centre-Nord,BF49,75-79,male,2855.95515162324,2242.78772366248,2140.59315233569,2038.3985810089,1936.20400968211,2344.98229498928
Centre-Nord,BF49,80-84,male,0,1112.52538104777,1297.94627788907,1483.36717473037,1668.78807157166,927.104484206479
Centre-Nord,BF49,85-89,male,0,0,0,0,0,0
Centre-Nord,BF49,90-94,male,0,0,0,0,0,0
Centre-Nord,BF49,80-84,female,0,1404.5358418452,1638.6251488194,1872.7144557936,2106.8037627678,1170.446534871
Centre-Nord,BF49,85-89,female,0,0,0,0,0,0
Centre-Nord,BF49,30-34,female,40244.1899447914,49330.6782920923,50845.0930166424,52359.5077411926,53873.9224657427,47816.2635675421
Centre-Nord,BF49,35-39,female,35549.4691476025,40009.2357997089,40752.5302417267,41495.8246837444,42239.1191257621,39265.9413576912
Centre-Nord,BF49,40-44,female,26772.9494350799,36079.8891583615,37631.0457789085,39182.2023994554,40733.3590200023,34528.7325378146
Centre-Nord,BF49,1-4,female,139120.226290031,147848.457028803,149303.162151932,150757.86727506,152212.572398189,146393.751905674
Centre-Nord,BF49,45-49,female,23317.1132927048,26283.1842051977,26777.5293572798,27271.874509362,27766.2196614441,25788.8390531155
Centre-Nord,BF49,50-54,female,14123.2850648766,23716.6506813903,25315.5449508092,26914.4392202282,28513.3334896471,22117.7564119713
Centre-Nord,BF49,55-59,female,14983.9838776945,12633.512722563,12241.7675300411,11850.0223375191,11458.2771449972,13025.2579150849
Centre-Nord,BF49,60-64,female,8763.47882141924,13997.2770177104,14869.5767170922,15741.8764164741,16614.1761158559,13124.9773183285
Centre-Nord,BF49,65-69,female,9115.58288120841,6569.53278568326,6145.19110309573,5720.84942050821,5296.50773792068,6993.87446827078
